regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	wdecay	classil	sgd	act_entropy	live	42	0.916340	0.068941	0.321200	0.127901	0.144168	0.260009	0.011762	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	act_pr	live	42	0.923439	0.059620	0.312300	0.086506	0.092089	0.165731	0.031371	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	w_fro	live	42	0.914909	0.069579	0.211500	0.025929	0.025657	0.039543	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	w_l1	live	42	0.913161	0.071630	0.211500	0.021439	0.021161	0.031723	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	w_absmean	live	42	0.913261	0.071529	0.211500	0.021454	0.021176	0.031713	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	w_absmax	live	42	0.923183	0.060087	0.211500	0.086435	0.088333	0.162449	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	grad_norm	live	42	0.902462	0.083562	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000	478410.000000	810.000000	0.001700	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	grad_norm_layer	live	42	0.903498	0.082425	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	grad_weight_ratio	live	42	0.917307	0.067178	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	step_norm	live	42	0.903303	0.082522	0.211500	0.000018	0.000017	0.000020	0.000000	1.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	wdecay	classil	sgd	state01	live	42	0.916495	0.070508	0.513000	0.156920	0.186766	0.341592	0.025102	0.000000	478410.000000	4860.000000	0.010200	3144000.000000	2.000000	1.000000	1.000000	0.000000
budget	gain	taskil	adam	er	base	42	0.991416	0.007077	nan	0.000000	0.000000	0.000000	0.000000	0.000000	478410.000000	0.000000	0.000000	628800.000000	1.000000	1.000000	1.000000	0.000000
